CNPJ_FUNDO,DT_COMPTC,VL_PATRIM_LIQ
08.971.898/0001-57,2010-10-21,702075615.05
08.971.898/0001-57,2010-10-22,697341979.8
08.971.898/0001-57,2010-10-25,695751710.58
08.971.898/0001-57,2010-10-26,693456962.89
08.971.898/0001-57,2010-10-27,692762483.42
08.971.898/0001-57,2010-10-28,691878561.07
08.971.898/0001-57,2010-10-29,692903426.64
08.971.898/0001-57,2010-11-01,692248873.54
08.971.898/0001-57,2010-11-03,688186357.51
08.971.898/0001-57,2010-11-04,687822609.31
08.971.898/0001-57,2010-11-05,686621820.8
08.971.898/0001-57,2010-11-08,684154484.62
08.971.898/0001-57,2010-11-09,679780347.15
08.971.898/0001-57,2010-11-10,678380205.62
08.971.898/0001-57,2010-11-11,678503359.09
08.971.898/0001-57,2010-11-12,678071329.12
08.971.898/0001-57,2010-11-16,676484366.1
08.971.898/0001-57,2010-11-17,667876375.97
08.971.898/0001-57,2010-11-18,657080049.59
08.971.898/0001-57,2010-11-19,663182573.06
08.971.898/0001-57,2010-11-22,659470426.56
08.971.898/0001-57,2010-11-23,654136796.41
08.971.898/0001-57,2010-11-24,654963242.94
08.971.898/0001-57,2010-11-25,645446429.44
08.971.898/0001-57,2010-11-26,632661464.88
08.971.898/0001-57,2010-11-29,622990475.74
08.971.898/0001-57,2010-11-30,648446326.36
08.971.898/0001-57,2010-12-01,647116491.25
08.971.898/0001-57,2010-12-02,642762229.66
08.971.898/0001-57,2010-12-03,647267058.94
08.971.898/0001-57,2010-12-06,639353632.96
08.971.898/0001-57,2010-12-07,647654972.36
08.971.898/0001-57,2010-12-08,645997531.2
08.971.898/0001-57,2010-12-09,648715221.39
08.971.898/0001-57,2010-12-10,644482273.16
08.971.898/0001-57,2010-12-13,646960633.57
08.971.898/0001-57,2010-12-14,638021855.32
08.971.898/0001-57,2010-12-15,643075681.78
08.971.898/0001-57,2010-12-16,641964125.46
08.971.898/0001-57,2010-12-17,648501295.04
08.971.898/0001-57,2010-12-20,643547325.21
08.971.898/0001-57,2010-12-21,642070860.42
08.971.898/0001-57,2010-12-22,640454711.36
08.971.898/0001-57,2010-12-23,643091033.41
08.971.898/0001-57,2010-12-24,642125621.3
08.971.898/0001-57,2010-12-27,645347386.87
08.971.898/0001-57,2010-12-28,645367228.5
08.971.898/0001-57,2010-12-29,645238680.27
08.971.898/0001-57,2010-12-30,645339183.73
08.971.898/0001-57,2010-12-31,645414453.35
08.971.898/0001-57,2011-01-03,644661678.97
08.971.898/0001-57,2011-01-04,644308961.13
08.971.898/0001-57,2011-01-05,645120057.37
08.971.898/0001-57,2011-01-06,645198946.84
08.971.898/0001-57,2011-01-07,644376698.85
08.971.898/0001-57,2011-01-10,644403883.42
08.971.898/0001-57,2011-01-11,661125896.25
08.971.898/0001-57,2011-01-12,661072265.64
08.971.898/0001-57,2011-01-13,660707574.51
08.971.898/0001-57,2011-01-14,660561538.97
08.971.898/0001-57,2011-01-17,659938269.25
08.971.898/0001-57,2011-01-18,655162336.39
08.971.898/0001-57,2011-01-19,654716321.79
08.971.898/0001-57,2011-01-20,655297186.94
08.971.898/0001-57,2011-01-21,655305253.14
08.971.898/0001-57,2011-01-24,654355528.65
08.971.898/0001-57,2011-01-25,654254048.97
08.971.898/0001-57,2011-01-26,668309307.72
08.971.898/0001-57,2011-01-27,665499439.05
08.971.898/0001-57,2011-01-28,665015465.58
08.971.898/0001-57,2011-01-31,665174105.88
08.971.898/0001-57,2011-02-01,663979322.5
08.971.898/0001-57,2011-02-02,664796715.24
08.971.898/0001-57,2011-02-03,664875357.55
08.971.898/0001-57,2011-02-04,664610102.5
08.971.898/0001-57,2011-02-07,664304492.34
08.971.898/0001-57,2011-02-08,663825621.96
08.971.898/0001-57,2011-02-09,663516118.61
08.971.898/0001-57,2011-02-10,663666252.56
08.971.898/0001-57,2011-02-11,662423470.43
08.971.898/0001-57,2011-02-14,662804905.52
08.971.898/0001-57,2011-02-15,664541252.66
08.971.898/0001-57,2011-02-16,665099655.19
08.971.898/0001-57,2011-02-17,664860479.59
08.971.898/0001-57,2011-02-18,664546091.05
08.971.898/0001-57,2011-02-21,664144644.07
08.971.898/0001-57,2011-02-22,664215006.08
08.971.898/0001-57,2011-02-23,664067407.36
08.971.898/0001-57,2011-02-24,663650761.92
08.971.898/0001-57,2011-02-25,663270787.53
08.971.898/0001-57,2011-02-28,666179121.96
08.971.898/0001-57,2011-03-01,665821343.82
08.971.898/0001-57,2011-03-02,665242622.21
08.971.898/0001-57,2011-03-03,665588388.39
08.971.898/0001-57,2011-03-04,665160357.4
08.971.898/0001-57,2011-03-09,664814221.19
08.971.898/0001-57,2011-03-10,662956879.65
08.971.898/0001-57,2011-03-11,651489937.52
08.971.898/0001-57,2011-03-14,649978627.43
08.971.898/0001-57,2011-03-15,647842902.42
08.971.898/0001-57,2011-03-16,647398973.33
08.971.898/0001-57,2011-03-17,646384852.66
08.971.898/0001-57,2011-03-18,646386673.42
08.971.898/0001-57,2011-03-21,646005259.2
08.971.898/0001-57,2011-03-22,645488215.88
08.971.898/0001-57,2011-03-23,646211464.77
08.971.898/0001-57,2011-03-24,645893785.33
08.971.898/0001-57,2011-03-25,645788255.78
08.971.898/0001-57,2011-03-28,645525947
08.971.898/0001-57,2011-03-29,644873569
08.971.898/0001-57,2011-03-30,645588227.88
08.971.898/0001-57,2011-03-31,648051262.17
08.971.898/0001-57,2011-04-01,650103878.55
08.971.898/0001-57,2011-04-04,649781788.13
08.971.898/0001-57,2011-04-05,648799578.39
08.971.898/0001-57,2011-04-06,649116878.42
08.971.898/0001-57,2011-04-07,649221727.58
08.971.898/0001-57,2011-04-08,656638118.46
08.971.898/0001-57,2011-04-11,655401261.98
08.971.898/0001-57,2011-04-12,655123730.49
08.971.898/0001-57,2011-04-13,654516329.82
08.971.898/0001-57,2011-04-14,658986323.83
08.971.898/0001-57,2011-04-15,658079339.91
08.971.898/0001-57,2011-04-18,658038034.7
08.971.898/0001-57,2011-04-19,657926408.4
08.971.898/0001-57,2011-04-20,658263224.1
08.971.898/0001-57,2011-04-25,657146448.13
08.971.898/0001-57,2011-04-26,657057600.23
08.971.898/0001-57,2011-04-27,657275187.82
08.971.898/0001-57,2011-04-28,658123798.63
08.971.898/0001-57,2011-04-29,660016125.46
08.971.898/0001-57,2011-05-02,660703366.38
08.971.898/0001-57,2011-05-03,659743216.25
08.971.898/0001-57,2011-05-04,659371018.17
08.971.898/0001-57,2011-05-05,659078030.71
08.971.898/0001-57,2011-05-06,659467154.42
08.971.898/0001-57,2011-05-09,659838649.56
08.971.898/0001-57,2011-05-10,661907274.45
08.971.898/0001-57,2011-05-11,662027622.48
08.971.898/0001-57,2011-05-12,661803131.22
08.971.898/0001-57,2011-05-13,661583554.19
08.971.898/0001-57,2011-05-16,661325325.93
08.971.898/0001-57,2011-05-17,661069300.42
08.971.898/0001-57,2011-05-18,660965507.26
08.971.898/0001-57,2011-05-19,660930840.96
08.971.898/0001-57,2011-05-20,660968561.32
08.971.898/0001-57,2011-05-23,660557670.77
08.971.898/0001-57,2011-05-24,661435338.61
08.971.898/0001-57,2011-05-25,661012990.45
08.971.898/0001-57,2011-05-26,661290227.39
08.971.898/0001-57,2011-05-27,662268251.3
08.971.898/0001-57,2011-05-30,662797709.37
08.971.898/0001-57,2011-05-31,663534877.28
08.971.898/0001-57,2011-06-01,664441932.85
08.971.898/0001-57,2011-06-02,659392884.2
08.971.898/0001-57,2011-06-03,656478213.51
08.971.898/0001-57,2011-06-06,655845066.06
08.971.898/0001-57,2011-06-07,655862215.72
08.971.898/0001-57,2011-06-08,655378048.1
08.971.898/0001-57,2011-06-09,655258249.96
08.971.898/0001-57,2011-06-10,656111573.86
08.971.898/0001-57,2011-06-13,656551159.01
08.971.898/0001-57,2011-06-14,657259303.47
08.971.898/0001-57,2011-06-15,657336507.56
08.971.898/0001-57,2011-06-16,657009082.42
08.971.898/0001-57,2011-06-17,656097440.6
08.971.898/0001-57,2011-06-20,656282992.63
08.971.898/0001-57,2011-06-21,656504501.44
08.971.898/0001-57,2011-06-22,656590717.65
08.971.898/0001-57,2011-06-24,656718656.97
08.971.898/0001-57,2011-06-27,656378020.37
08.971.898/0001-57,2011-06-28,657350967.7
08.971.898/0001-57,2011-06-29,657505269.67
08.971.898/0001-57,2011-06-30,657882334.5
08.971.898/0001-57,2011-07-01,658439444.27
08.971.898/0001-57,2011-07-04,658834195.24
08.971.898/0001-57,2011-07-05,657681111.54
08.971.898/0001-57,2011-07-06,657769902.7
08.971.898/0001-57,2011-07-07,658729101.88
08.971.898/0001-57,2011-07-08,658379722.42
08.971.898/0001-57,2011-07-11,699470886.4
08.971.898/0001-57,2011-07-12,699417620.68
08.971.898/0001-57,2011-07-13,699356267.66
08.971.898/0001-57,2011-07-14,698712280.46
08.971.898/0001-57,2011-07-15,698778565.29
08.971.898/0001-57,2011-07-18,696604467.22
08.971.898/0001-57,2011-07-19,696270011.04
08.971.898/0001-57,2011-07-20,695554205.72
08.971.898/0001-57,2011-07-21,696981874.21
08.971.898/0001-57,2011-07-22,696423616.97
08.971.898/0001-57,2011-07-25,696930960.85
08.971.898/0001-57,2011-07-26,695918474.55
08.971.898/0001-57,2011-07-27,695397272.96
08.971.898/0001-57,2011-07-28,694147950.78
08.971.898/0001-57,2011-07-29,695254347.01
08.971.898/0001-57,2011-08-01,693775816.75
08.971.898/0001-57,2011-08-02,692403260.11
08.971.898/0001-57,2011-08-03,691083278.64
08.971.898/0001-57,2011-08-04,688545320.08
08.971.898/0001-57,2011-08-05,688622663.51
08.971.898/0001-57,2011-08-08,685877241.29
08.971.898/0001-57,2011-08-09,689581243.72
08.971.898/0001-57,2011-08-10,689550568.4
08.971.898/0001-57,2011-08-11,690625785.72
08.971.898/0001-57,2011-08-12,689623333.91
08.971.898/0001-57,2011-08-15,691735763.01
08.971.898/0001-57,2011-08-16,690579112.79
08.971.898/0001-57,2011-08-17,690658040.38
08.971.898/0001-57,2011-08-18,690815070.65
08.971.898/0001-57,2011-08-19,688975388.04
08.971.898/0001-57,2011-08-22,687236352.39
08.971.898/0001-57,2011-08-23,685706475.56
08.971.898/0001-57,2011-08-24,685304032.47
08.971.898/0001-57,2011-08-25,684944987.48
08.971.898/0001-57,2011-08-26,686013964.77
08.971.898/0001-57,2011-08-29,687153499.49
08.971.898/0001-57,2011-08-30,686198384.06
08.971.898/0001-57,2011-08-31,686819967.75
08.971.898/0001-57,2011-09-01,689732378.58
08.971.898/0001-57,2011-09-02,688429056.31
08.971.898/0001-57,2011-09-05,688089855.42
08.971.898/0001-57,2011-09-06,689012090.19
08.971.898/0001-57,2011-09-08,688401152.38
08.971.898/0001-57,2011-09-09,688777743.94
08.971.898/0001-57,2011-09-12,689271857.72
08.971.898/0001-57,2011-09-13,689372232.74
08.971.898/0001-57,2011-09-14,689065328.95
